ROS2_Clock,Topic_Name,Data_Keys,Value_0
6999159208,/electrical/power,power_W,0.0246
7000584125,/electrical/voltage,voltage_V,26.0450
7001100208,/electrical/current,current_A,-0.9263
7001636833,/electrical/power,power_W,0.0239
7003066417,/electrical/voltage,voltage_V,26.0388
7003616167,/electrical/current,current_A,-0.9355
7004160458,/electrical/power,power_W,0.0242
7005586833,/electrical/voltage,voltage_V,26.0575
7006117292,/electrical/current,current_A,-0.9228
7006671375,/electrical/power,power_W,0.0243
7008093292,/electrical/voltage,voltage_V,26.0700
7008623292,/electrical/current,current_A,-0.8685
7009143792,/electrical/power,power_W,0.0238
7012016958,/electrical/voltage,voltage_V,26.0575
7012557250,/electrical/current,current_A,-0.9223
7013115958,/electrical/power,power_W,0.0242
7013720042,/electrical/voltage,voltage_V,26.0300
7014289042,/electrical/current,current_A,-0.9173
7014824708,/electrical/power,power_W,0.0243
7015557042,/electrical/voltage,voltage_V,26.0663
7016128625,/electrical/current,current_A,-0.6880
7016840375,/electrical/power,power_W,0.0231
7018044500,/electrical/voltage,voltage_V,26.0575
7018617375,/electrical/current,current_A,-0.9238
7019176042,/electrical/power,power_W,0.0244
7020567500,/electrical/voltage,voltage_V,26.0488
7021113833,/electrical/current,current_A,-0.9193
7021640917,/electrical/power,power_W,0.0242
7023085292,/electrical/voltage,voltage_V,26.0488
7023634458,/electrical/current,current_A,-0.9417
7024156167,/electrical/power,power_W,0.0243
7025563417,/electrical/voltage,voltage_V,26.0725
7026080083,/electrical/current,current_A,-0.9280
7026664583,/electrical/power,power_W,0.0244
7028093083,/electrical/voltage,voltage_V,26.0425
7028638042,/electrical/current,current_A,-0.9270
7029155583,/electrical/power,power_W,0.0243
7030572792,/electrical/voltage,voltage_V,26.0450
7031107750,/electrical/current,current_A,-0.9325
7031635500,/electrical/power,power_W,0.0241
7033128542,/electrical/voltage,voltage_V,26.0388
7033650875,/electrical/current,current_A,-0.9515
7034172167,/electrical/power,power_W,0.0246
7035562500,/electrical/voltage,voltage_V,26.0763
7036130875,/electrical/current,current_A,-0.9203
7036658250,/electrical/power,power_W,0.0248
7039335208,/electrical/voltage,voltage_V,26.0488
7039852667,/electrical/current,current_A,-0.9437
7040452375,/electrical/power,power_W,0.0243
7041012208,/electrical/voltage,voltage_V,26.0725
7041571542,/electrical/current,current_A,-0.9383
7042081000,/electrical/power,power_W,0.0242
7043042167,/electrical/voltage,voltage_V,26.0425
7043591750,/electrical/current,current_A,-0.9315
7044125917,/electrical/power,power_W,0.0243
7045558875,/electrical/voltage,voltage_V,26.0450
7046110083,/electrical/current,current_A,-0.9617
7046899958,/electrical/power,power_W,0.0244
7048067792,/electrical/voltage,voltage_V,26.0550
7048627000,/electrical/current,current_A,-0.9287
7049189125,/electrical/power,power_W,0.0242
7051079833,/electrical/voltage,voltage_V,26.0575
7051635708,/electrical/current,current_A,-0.9248
7052162542,/electrical/power,power_W,0.0240
7053036167,/electrical/voltage,voltage_V,26.0512
7053583708,/electrical/current,current_A,-0.9260
7054124000,/electrical/power,power_W,0.0245
7055563458,/electrical/voltage,voltage_V,26.0425
7057372708,/electrical/current,current_A,-0.9285
7059176583,/electrical/power,power_W,0.0240
7059731375,/electrical/voltage,voltage_V,26.0362
7060274917,/electrical/current,current_A,-0.9350
7060804542,/electrical/power,power_W,0.0239
7061328958,/electrical/voltage,voltage_V,26.0325
7061847458,/electrical/current,current_A,-0.9243
7062355583,/electrical/power,power_W,0.0240
7063090333,/electrical/voltage,voltage_V,26.0325
7063671250,/electrical/current,current_A,-0.9193
7064169250,/electrical/power,power_W,0.0245
7065570542,/electrical/voltage,voltage_V,26.0325
7066103292,/electrical/current,current_A,-0.9295
7066649458,/electrical/power,power_W,0.0240
7068096042,/electrical/voltage,voltage_V,26.0550
7068636042,/electrical/current,current_A,-0.9325
7069169542,/electrical/power,power_W,0.0239
7070572792,/electrical/voltage,voltage_V,26.0425
7071109667,/electrical/current,current_A,-0.9287
7071655333,/electrical/power,power_W,0.0244
