ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1776371408937229031,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.050232,9.312240,-0.000039,-0.000396,0.000139,-0.001927,0.161869,-0.004853
1776371408939141415,/encoders,"encoder_left,encoder_right",0,347
1776371408939714522,/motor_speed,speed_setting,11
1776371408941117384,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131758,-0.050213,9.305070,0.001032,-0.000914,0.000679,-0.001947,0.161910,-0.004856
1776371408943198669,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.129482,-0.057361,9.297922,0.002637,-0.002485,0.002289,-0.001930,0.161861,-0.004852
1776371408947577758,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134233,-0.064519,9.295551,-0.001112,0.000159,0.001200,-0.001958,0.161901,-0.004854
1776371408949154579,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136609,-0.076426,9.305104,0.000498,-0.003097,0.000141,-0.001986,0.161907,-0.004859
1776371408953432032,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.078788,9.312251,0.002636,-0.002537,-0.000390,-0.002024,0.161878,-0.004867
1776371408955736365,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134133,-0.076398,9.321787,0.001026,-0.000406,-0.001475,-0.002058,0.161911,-0.004875
1776371408959235745,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131758,-0.071630,9.331322,0.000493,-0.000946,-0.000933,-0.002101,0.161873,-0.004886
